TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,Terrorism,UserTenure,txn_month,txn_day,email_domain,Income_y,Expenditure_y,GiftsTransaction_y,IsFraud
8765,70,37,1,3,1,1,3,5,2,2,0,-31.840233,145.612793,1,113,3,12,1,28884.43,14610.61,2100.02,1
9645,3386,34,0,1,0,3,4,1,2,0,0,-37.0201,144.9646,1,104,3,5,2,54919.07,39169.49,9939.42,1
1145,2971,25,0,0,2,3,2,7,3,6,0,-31.840233,145.612793,1,105,11,10,2,74728.57,55873.76,2299.7,0
15308,2925,25,0,3,0,3,3,0,3,1,0,-37.0201,144.9646,1,70,10,7,0,55712.62,35859.616,4335.7,1
14967,2339,38,0,3,0,2,4,0,2,3,2,-37.0201,144.9646,1,27,9,22,2,53004.7,17440.408,4763.48,0
15336,234,32,1,1,1,2,1,2,2,3,2,-37.0201,144.9646,1,35,6,30,2,101381.56,32414.52,196.29,1
17281,1617,18,0,3,0,2,1,6,3,5,2,-31.840233,145.612793,1,53,11,21,4,63035.98,36644.056,3009.44,0
4829,877,39,0,3,0,2,4,6,1,4,1,-37.0201,144.9646,1,19,12,15,2,61284.85,36604.93,2428.54,0
12301,4394,39,0,1,1,2,2,7,2,5,0,-37.0201,144.9646,0,28,2,28,2,28419.25,11172.93,1201.84,1
9933,103,21,0,1,0,2,3,4,0,0,0,-30.000233,136.209152,1,99,9,10,2,57384.51,40721.71,21639.04,0
10840,3288,52,1,3,2,2,1,7,3,0,0,-31.840233,145.612793,1,107,10,24,2,40702.41,21169.11,127.1,0
8798,358,56,0,1,1,1,3,7,2,1,0,-20.917574,142.702789,1,20,9,29,2,58628.6,17873.88,2164.86,1
16671,1732,41,0,1,1,3,2,5,3,4,0,-20.917574,142.702789,1,80,12,24,2,85310.21,32364.504,4847.91,0
12962,2407,-1,1,1,0,1,0,5,3,4,0,-31.840233,145.612793,1,47,5,7,5,52760.64,24006.32,3165.68,1
4605,3336,31,0,3,0,2,0,3,0,4,0,-37.0201,144.9646,0,18,12,12,3,93197.13,68415.46,6608.68,0
9477,210,34,2,2,0,2,2,6,3,0,1,-20.917574,142.702789,1,73,12,18,2,52587.15,38033.86,4039.56,0
8238,4228,35,0,2,1,2,3,7,3,3,0,-37.0201,144.9646,0,108,10,30,4,118437.1,39882.13,5481.78,0
10643,2006,41,1,3,1,2,2,7,3,5,1,-37.0201,144.9646,1,9,4,15,2,68140.84,21877.39,4740.86,1
1835,65,21,1,3,1,0,1,5,3,6,2,-37.0201,144.9646,0,100,10,28,3,53705.83,41566.98,3903.5,1
17034,1116,32,1,3,0,3,1,5,3,2,0,-37.0201,144.9646,1,104,4,12,2,60108.48,24397.448,2331.67,1
8097,4530,18,0,0,1,1,0,2,3,7,0,-37.0201,144.9646,1,45,12,23,3,58974.57,33755.03,667.96,0
15195,4143,30,1,3,0,2,4,1,3,4,0,-25.042261,117.793221,1,82,12,15,1,127088.35,52599.508,15901.04,1
8237,1162,29,1,1,1,3,1,0,1,3,0,-20.917574,142.702789,0,101,12,2,2,42903.25,31294.62,5872.8,0
16688,1737,36,0,3,0,3,1,6,0,5,1,-37.0201,144.9646,1,16,9,24,2,68350.31,24291.156,873.61,1
17924,382,35,1,1,0,2,0,7,3,3,0,-37.0201,144.9646,1,11,10,8,2,78404.02,39890.248,6948.17,0
5852,2587,28,1,3,1,2,1,2,1,6,0,-30.000233,136.209152,0,48,9,25,0,66233.88,23587.19,18324.04,0
11620,3113,31,1,3,0,3,2,1,3,4,1,-31.840233,145.612793,1,95,11,20,5,127411.46,54214.57,7790.6,0
9616,1371,30,0,3,0,1,4,5,3,0,0,-31.840233,145.612793,1,37,11,21,5,53477.15,30523.44,4479.78,0
18255,1066,28,1,2,1,2,1,7,0,7,2,-31.840233,145.612793,1,113,9,6,2,75889.65,27870.56,5576.9,0
18023,2358,21,0,1,2,2,0,3,1,5,0,-31.840233,145.612793,1,67,10,25,0,66119.48,27695.076,4513.98,0
6826,2854,37,1,3,1,3,1,0,3,2,0,-37.0201,144.9646,1,51,7,7,4,77572.19,31716.53,5575.92,0
477,453,52,0,1,1,3,1,0,2,2,1,-31.840233,145.612793,0,68,7,8,2,155909.72,74590.43,29575.18,1
11409,4165,37,0,3,0,3,1,6,3,3,0,-31.840233,145.612793,1,17,9,23,5,34730.55,25960.05,1932.1,0
8031,4867,31,1,1,0,1,1,0,0,6,2,-20.917574,142.702789,0,18,12,26,2,61718.9,41013.99,4845.74,0
4190,3207,42,0,3,0,3,1,3,3,1,1,-37.0201,144.9646,1,106,6,11,0,56576.53,22365.56,723.08,1
18053,4138,55,1,3,0,3,3,7,1,0,0,-41.640079,146.315918,1,89,4,18,2,73516.82,35706.968,7842.88,0
11529,3617,18,1,0,0,3,2,2,2,5,0,-31.840233,145.612793,1,16,12,2,2,52486.36,32370.19,15078.92,1
