TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionAmount,TransactionType,TransactionLocation,DeviceType,Terrorism,UserTenure,IsFraud
8765,70,37,0,2,1,3,3,28884.43,14610.61,2100.02,258.14,3,0,0,0,113,1
9645,3386,34,1,0,0,1,4,54919.07,39169.49,9939.42,34.94,3,2,0,0,104,1
1145,2971,25,1,1,2,1,2,74728.57,55873.76,2299.7,323.82,1,1,0,0,105,0
15308,2925,25,1,2,0,1,3,55712.62,35859.616,4335.7,12.996,1,3,0,0,70,1
14967,2339,38,1,2,0,0,4,53004.7,17440.408,4763.48,456.3,3,5,2,0,27,0
15336,234,32,0,0,1,0,1,101381.56,32414.52,196.29,26.956,3,5,2,0,35,1
17281,1617,18,1,2,0,0,1,63035.98,36644.056,3009.44,359.84,1,7,2,0,53,0
4829,877,39,1,2,0,0,4,61284.85,36604.93,2428.54,19.41,0,4,1,0,19,0
12301,4394,39,1,0,1,0,2,28419.25,11172.93,1201.84,111.73,3,7,0,1,28,1
9933,103,21,1,0,0,0,3,57384.51,40721.71,21639.04,110.54,2,2,0,0,99,0
10840,3288,52,0,2,2,0,1,40702.41,21169.11,127.1,97.07,1,2,0,0,107,0
8798,358,56,1,0,1,3,3,58628.6,17873.88,2164.86,672.06,3,3,0,0,20,1
16671,1732,41,1,0,1,1,2,85310.21,32364.504,4847.91,416.644,1,4,0,0,80,0
12962,2407,24,0,0,0,3,0,52760.64,24006.32,3165.68,1255.79,1,4,0,0,47,1
4605,3336,31,1,2,0,0,0,93197.13,68415.46,6608.68,527.72,2,4,0,1,18,0
9477,210,34,2,3,0,0,2,52587.15,38033.86,4039.56,192.2,1,2,1,0,73,0
8238,4228,35,1,3,1,0,3,118437.1,39882.13,5481.78,19.48,1,5,0,1,108,0
10643,2006,41,0,2,1,0,2,68140.84,21877.39,4740.86,3.41,1,7,1,0,9,1
1835,65,21,0,2,1,2,1,53705.83,41566.98,3903.5,65.21,1,1,2,1,100,1
17034,1116,32,0,2,0,1,1,60108.48,24397.448,2331.67,33.408,1,0,0,0,104,1
8097,4530,18,1,1,1,3,0,58974.57,33755.03,667.96,384.7,1,6,0,0,45,0
15195,4143,30,0,2,0,0,4,127088.35,52599.508,15901.04,340.144,1,4,0,0,82,1
8237,1162,29,0,0,1,1,1,42903.25,31294.62,5872.8,161.54,0,5,0,1,101,0
16688,1737,36,1,2,0,1,1,68350.31,24291.156,873.61,85.128,2,7,1,0,16,1
17924,382,35,0,0,0,0,0,78404.02,39890.248,6948.17,422.172,1,5,0,0,11,0
5852,2587,28,0,2,1,0,1,66233.88,23587.19,18324.04,119.03,0,1,0,1,48,0
11620,3113,31,0,2,0,1,2,127411.46,54214.57,7790.6,106.33,1,4,1,0,95,0
9616,1371,30,1,2,0,3,4,53477.15,30523.44,4479.78,137.75,1,2,0,0,37,0
18255,1066,28,0,3,1,0,1,75889.65,27870.56,5576.9,230.308,2,6,2,0,113,0
18023,2358,21,1,0,2,0,0,66119.48,27695.076,4513.98,1065.068,0,7,0,0,67,0
6826,2854,37,0,2,1,1,1,77572.19,31716.53,5575.92,593.4,1,0,0,0,51,0
477,453,52,1,0,1,1,1,155909.72,74590.43,29575.18,21.97,3,0,1,1,68,1
11409,4165,37,1,2,0,1,1,34730.55,25960.05,1932.1,52.7,1,5,0,0,17,0
8031,4867,31,0,0,0,3,1,61718.9,41013.99,4845.74,1360.31,2,1,2,1,18,0
4190,3207,42,1,2,0,1,1,56576.53,22365.56,723.08,34.95,1,3,1,0,106,1
18053,4138,55,0,2,0,1,3,73516.82,35706.968,7842.88,2.892,0,2,0,0,89,0
11529,3617,18,0,1,0,1,2,52486.36,32370.19,15078.92,198.41,3,7,0,0,16,1
13655,2273,40,1,0,1,1,4,119498.91,57677.54,19409.32,82.03,1,7,0,0,35,0
7724,2955,-1,2,0,1,1,4,105727.69,82090.6,8606.42,51.32,3,1,0,1,78,1
642,3609,48,0,1,0,1,4,40163.34,30880.64,3019.98,26.69,2,0,1,0,47,0
549,4714,40,1,0,1,0,2,69175.91,33882.72,13676.38,764.01,1,0,0,0,65,1
